========================================
Old logs cleaned by monthly scheduler
Cleanup Time: 01-07-2026 10:28:47 AM IST
========================================

2026-07-02 10:06:49 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-02 10:06:52 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-02 10:06:52 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-02 10:06:52 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 10:06:53 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 10:06:53 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 10:06:53 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 11:52:35 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-02 11:52:35 | INFO     | service.py:44 | .env file is loaded
2026-07-02 11:52:36 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-02 11:52:36 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-02 11:52:36 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 11:52:37 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-02 11:52:37 | INFO     | task01.py:99 | Fetching Data From Database.
2026-07-02 11:52:37 | INFO     | task01.py:66 | >> No Birthdays today	>> No festivals today
2026-07-02 11:52:37 | INFO     | task01.py:112 | Nothing to add in Daily-Stats
2026-07-02 11:52:37 | INFO     | task01.py:123 | Adding to Days Login data and Email Send Data.
2026-07-02 11:52:37 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 11:52:37 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 11:52:37 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 11:52:38 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 16:34:07 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-02 16:34:07 | INFO     | service.py:44 | .env file is loaded
2026-07-02 16:34:08 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-02 16:34:08 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-02 16:34:11 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 16:34:12 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-02 16:34:12 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-02 16:34:15 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-02 16:34:18 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-02 16:34:18 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-02 16:34:18 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 16:34:19 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 16:34:19 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 16:34:19 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 20:04:50 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-02 20:04:50 | INFO     | service.py:44 | .env file is loaded
2026-07-02 20:04:50 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-02 20:04:50 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-02 20:04:53 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 20:04:55 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-02 20:04:55 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-02 20:04:58 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-02 20:05:01 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-02 20:05:01 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-02 20:05:01 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 20:05:01 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-02 20:05:01 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-02 20:05:02 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 09:44:49 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-03 09:44:49 | INFO     | service.py:44 | .env file is loaded
2026-07-03 09:44:49 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-03 09:44:49 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-03 09:44:52 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 09:44:53 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-03 09:44:53 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-03 09:44:56 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-03 09:44:59 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-03 09:44:59 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-03 09:44:59 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 09:45:00 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 09:45:00 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 09:45:00 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 11:38:38 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-03 11:38:38 | INFO     | service.py:44 | .env file is loaded
2026-07-03 11:38:38 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-03 11:38:38 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-03 11:38:38 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 11:38:40 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-03 11:38:40 | INFO     | task01.py:99 | Fetching Data From Database.
2026-07-03 11:38:40 | INFO     | task01.py:66 | >> No Birthdays today	>> No festivals today
2026-07-03 11:38:40 | INFO     | task01.py:112 | Nothing to add in Daily-Stats
2026-07-03 11:38:40 | INFO     | task01.py:123 | Adding to Days Login data and Email Send Data.
2026-07-03 11:38:40 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 11:38:40 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 11:38:40 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 11:38:41 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 13:14:40 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-03 13:14:40 | INFO     | service.py:44 | .env file is loaded
2026-07-03 13:14:41 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-03 13:14:41 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-03 13:14:44 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 13:14:45 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-03 13:14:45 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-03 13:14:48 | INFO     | task02.py:106 | >> No new joiners since last run
